Date,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,00:00:00
30/01/2025,1.625,1.625,1.625,1.5,1.625,1.75,1.625,1.75,1.375,2,1.625,1.75,1.625,2.25,7.25,20.125,35,48.5,61.125,70.875,77.875,81.875,82.625,80.125,74,68.75,55.625,44,23.125,7.5,2.875,1.375,2,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.875
31/01/2025,1.625,1.125,2.125,1.75,1.625,1.75,1.625,1.75,1.625,1.625,1.625,1.5,1.75,1.75,5.875,19.625,27,38.125,55.5,71.875,75,71.625,62,61.75,34.5,42.375,34,19.75,10,3.625,2.375,1.75,1.625,1.625,1.25,1.875,1.75,1.625,1.625,1.375,1.625,1.5,1.625,1.625,1.625,1.625,1.625,0.5
01/02/2025,2.625,1.5,1.5,1.5,1.5,1.375,1.875,1.25,1.875,1.375,1.625,1,2.25,1.5,2,2.25,2.5,3.875,4.25,5.25,4.125,8.5,10.5,14.125,8.125,20.25,10,3.75,2.625,2.125,1.375,1.875,1.625,1.75,1.625,1.625,1.625,1,2.375,1.625,1.375,2,1.625,1.375,2,1.625,1.625,1.625
02/02/2025,1.625,1.625,1.625,1.625,1.5,1,2.25,1.625,1.625,1.625,1.625,1.75,1.5,2.375,7.875,16.75,21,49.875,63.375,73.625,80.625,84.5,85.375,83.5,77.5,68.5,56.375,43.125,25.75,20.5,5.25,1.875,1.75,1.625,1.625,2,1.75,1.625,1.625,1.75,1.375,1.375,1.75,1.625,1.625,1.75,1.375,1.75
03/02/2025,1.75,1.5,1.625,1.75,1.5,1.75,1.625,1.75,1.625,1.625,1.75,1.625,1.625,2.25,3.25,8.125,9.75,18.125,16.375,19.75,14.625,28.75,25,17.25,24.25,40,34.125,45.875,29.625,13,3.125,1.75,1.75,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.5,1.625
04/02/2025,2,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.625,1.625,1.75,1.75,2.125,4.875,12.5,20.875,28.625,31.875,38.5,45.875,47.875,39.375,27.25,25.875,13,10.625,8.375,7.125,2.625,2,1.5,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.625,1.75,1.5,1.875,1.625
05/02/2025,1.375,2,1.625,1.625,1.75,1.625,1.625,1.75,1.375,2,1.625,1.625,2,6.875,15.625,24.75,26,50,52,47.875,55.25,62.875,56.5,77.75,47.75,31.625,24.625,29.625,20,12.875,3.625,1.75,1.625,1.75,1.625,1.625,1.625,1.5,1.625,1.875,1.625,1.375,1.875,1.375,1.875,1.375,1.5,1.875
06/02/2025,1.375,1.875,1.625,1.625,1.75,1.5,1.875,1.625,1.625,1.75,1.625,1.625,1.625,4.125,14.125,29.625,44.25,58.375,70.5,79.75,86.125,89.75,90.5,88,80.375,75.25,55,46.625,32,16.25,4.5,2.5,1.625,1.375,1.625,1.625,2,0.75,2.5,1.75,1.75,1.375,2,1.625,1.75,1.375,1.875,1.625
07/02/2025,1.625,1.625,1.75,1.375,1.875,1.125,2.25,1.625,1.75,1.75,1.625,1.5,1.375,2.625,4.625,8.25,12.125,12.625,14.125,18.75,18,15.375,12,5,4.375,5.375,6.75,4.25,2.875,3,1.625,1.375,1.75,1.625,1.625,1.625,1.5,1.75,1.375,1.75,2,1.375,2,1.625,1.75,1.75,1.625,1.625
08/02/2025,1.125,2.25,1.625,1.5,2,1.625,1.75,1.625,1.25,2,2,1.625,1.875,1.375,2.375,2.125,2.375,2.125,2.375,3.875,11.75,18,9.75,7.125,9.75,6.125,7.5,5,4.875,4,2.375,2.25,1.75,1.625,1.375,1.375,1.625,1.625,1.75,1.375,1.875,1.125,2.25,1.375,2,1.625,1.625,1.625
09/02/2025,1.75,1.625,1.625,1.75,1.625,1.875,1.625,1.375,2,1.75,1.75,1.625,1.875,4.25,20.375,18.25,35.875,31.25,59.5,55.75,75.125,62.25,58.125,33,30.5,18.375,15.125,17.125,17,6.375,3.25,1.75,1.75,1.625,1.25,2.25,1.75,1.625,1.625,1.625,1.625,1.625,1.375,1.75,1.875,1.75,1.625,1.875
10/02/2025,1.625,1.75,1.625,1.75,1.625,1.75,1.75,1.75,1.625,1.75,1.625,1.75,1.75,2.5,5.25,4.375,5,3.875,4.625,6.375,5.5,5.25,4.625,8.125,7.625,11.5,9.125,10.125,9.375,17.25,3.5,1.625,1.625,1.5,1.625,1.625,1.375,1.625,0.75,2.375,0.75,2.5,1.375,2,1.75,1.625,1.5,1.25
11/02/2025,2.5,1.625,1.75,1.75,1.75,1.75,1.625,1.75,1.75,1.5,1.375,1.625,1.375,2.125,1.5,4.125,7.75,13.375,17.625,24,20.125,6.875,21.75,30.875,22.75,20.375,18.375,10.875,4.5,3.75,2,2,1.625,1.625,1.75,1.625,1.5,1.625,1.5,1.375,1.75,1.625,1.75,1.375,2.125,1.75,1.625,1.5
12/02/2025,1.375,0.875,1.75,1.625,1.375,2,1.75,1.375,2,1.375,1.625,1.375,1.75,2,2.75,4.625,8.375,14,19.125,23.875,25,20.625,28.375,25.25,11.125,9.125,18.375,8.75,4.875,3.875,1.875,1.875,1.75,1.375,1.625,1.625,1.875,1.625,1.75,1.75,1.625,1.75,1.625,1.75,1.75,1.625,1.75,1.5
13/02/2025,1.75,1.625,1.75,1.875,1.625,1.75,1.625,1.75,1.625,1.625,1.625,1.375,1.5,1.75,3,5.875,9.75,11.125,18.375,28.125,34.375,41.625,39.75,38.25,33.25,39.625,40.75,37.75,22.375,8.25,6,2.25,0.75,1.75,1.5,1.5,1.25,1.75,1.25,1.75,1.625,1.875,1.375,1.375,1.625,1.5,1.5,1.5
14/02/2025,1.625,1.5,1.375,1.625,1.625,1.375,1.625,1.5,1,2,1.625,1.625,1.375,3.75,7.375,14.375,19.875,23.5,44.625,53.5,92.5,63.25,75.25,62.75,59.5,86.5,41.75,72,15.5,8.125,3.375,1.75,1.625,1.5,1.375,1.5,1,2,1.5,1.5,1.25,2,1.625,1.875,1.5,1.75,0.75,2.5
15/02/2025,1.375,2,1.625,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.75,1.5,2.875,6.875,10.625,15.875,29.375,30.75,30,30.625,29.875,44,40.75,33.375,29.625,33.125,24.375,22.125,12.25,7.125,2.375,1.5,1.625,1.5,1.5,1.5,1.375,1.5,1.625,1.5,1.625,1.75,1.5,1.25,1.875,1.625,1.5
16/02/2025,1.5,1.5,1.375,1.625,1.625,1.375,1.625,1.125,1.75,1.625,1.875,1.5,1.875,4.125,6.375,9.625,12.375,18.125,20.875,18.5,18.625,17.5,18.125,18.875,22,32.75,30.5,36.75,29.125,14.375,8.625,2.875,1.625,1.5,1.375,1.75,1.625,1.5,1.5,1.5,1,2.125,1.625,1.25,1.75,1.625,1.75,1.5
17/02/2025,1.625,1.5,1.25,1.625,1.625,1.5,1.75,1.625,1.625,1.5,1.25,1.75,2.25,4.5,6.625,18.875,28.25,39.125,51.875,35,49,37.75,52,68.75,67.375,63.125,61.375,66.375,46.375,35,6.625,2.375,1.625,1.25,1.625,1.5,1.5,1.75,1.5,1.625,1.5,1.5,1.625,1.25,1.875,1.75,1.5,1.5
18/02/2025,1.25,1.625,1.375,1.625,1.625,1.625,1.5,1.25,1.75,1.375,1.625,1.75,3.375,9.75,24.375,42.125,64.125,60.875,84.125,86.875,90.125,92.5,86.75,76.125,86.75,75.5,41.125,49,39.625,26.375,13.375,3.625,1.625,1.625,1.375,1.5,1.625,1.625,1.375,1.625,1.625,1.5,1.625,1.5,1.5,1.375,1.75,1.375
19/02/2025,1.875,1.5,1.375,1.75,1.5,1.5,1.5,1.625,1.625,1.625,1.75,1.625,2.625,10.25,22.75,24.25,21.25,26.125,47.25,47.25,30.625,26.875,57.625,59,60.5,31.875,30.5,21,12.125,21.375,15.75,2.75,1.625,1.625,1.375,1.625,2,1.625,1.625,1.625,1.375,2,1.625,1.375,1.375,2.25,1.375,1.625
20/02/2025,1.75,1.75,1.625,1.75,1.625,1.75,1.75,1.625,1.375,1.5,1.75,1.5,2.125,2.125,2.125,3.625,3.25,6.5,5.875,13.5,16.625,10.75,12,14.875,13.375,8.5,12.625,5.625,7.25,4.875,2.125,1.75,1,1.125,1.25,1.25,1.25,1.25,1.625,1,1.25,1.125,1.5,1.75,1.75,1.625,1.625,1.625
21/02/2025,1.5,1.75,1.25,1.5,1.5,1.5,1.625,1.5,1.5,1.625,1.5,1.625,2.375,3.25,10.625,10.75,28.875,36.375,27.25,29.25,19.875,31.125,29.25,45.875,20.625,20.875,8.875,7.25,4.375,2.5,1.625,2,1.625,1.5,1.625,1.125,1.625,1.625,1.625,1.75,1.625,1.75,1.625,1.75,1.625,1.625,1.625,1.625
22/02/2025,1.875,1.625,1.75,1.625,1.375,2,1.625,1.75,1.625,1.75,1.625,1.625,2.375,3.5,5.75,4.5,18.125,22.625,26.25,39.875,36.75,52.125,61.25,71.25,101.5,91.75,79.625,67.625,50.25,34.375,18.125,5.125,2.25,1.75,1.625,1.625,1.625,1.75,1.625,1.75,1.625,1.625,1.375,1.875,1.625,1.625,1.75,1.625
23/02/2025,1.75,1.375,2,1.625,2,1.625,1.625,1.625,1.625,1.625,1.625,2.625,9.125,11.25,14.625,28.75,26,25.75,38.5,51.625,49.25,46.75,51.625,41.625,28.75,14.75,15,6.375,4.125,3,1.5,1.25,1.125,1.25,1.25,1.125,1,0.75,1.125,1.125,1,1.125,1.125,1.125,0.875,1.25,1.125,1.125
24/02/2025,1.125,1.125,1.25,1.125,1.125,1.25,1.125,0.875,2.125,1.625,1.75,1.75,2,2.75,8.5,13.125,15.625,17.75,17.875,15,54.375,69.625,115.75,108,110,70,98,71.875,54.125,39,20.375,6.25,1.875,1.75,1.75,1.375,1.375,2.25,1.75,1.625,1.625,1.75,1.625,1.375,2,1.625,1.625,1.75
25/02/2025,1.625,1.625,1.75,1.625,1.75,1.75,1.375,1.125,2.125,1.375,1.875,1.625,2.5,6.625,13,26,26.625,28.75,48.875,74.375,87.25,85.75,78.625,90.375,59.375,53.25,85.25,93.25,68.5,50.25,24,8.375,2,1.625,1.75,1.625,1.625,1.625,1.125,1.75,1.375,1.625,2,1.625,1.75,1.625,1.875,1.625
26/02/2025,1.625,1.75,1.625,1.75,1.625,1.625,1.75,1.625,1.625,1.625,1.625,2.25,2.75,3,4.25,5.25,6.625,10.25,4.75,18.625,24.875,17.75,16,54.375,56.25,67.875,63,82.875,16.375,27.875,14.625,7.625,2.5,1.75,1.375,2,1.625,1.75,1.625,1.625,1.375,2,1.625,1.75,1.625,1.625,1.625,1.625
27/02/2025,1.625,1.125,2.125,1.625,1.125,2,1.375,2,1.375,1.875,1.75,2.25,4.5,24.125,33,67.125,78.375,96.25,104.75,104.625,114.875,120.5,128.75,123.5,97.125,93.25,64,86.375,55.875,37.75,32,9.625,2.375,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.75,1.5,1.625
28/02/2025,1.875,1.5,1.875,1.75,1.125,2.25,1.625,1.75,1.625,1.375,2,2.5,7.875,23.375,42.125,59.875,76.875,92.375,104.375,115.25,129,111,109.75,117.25,118.125,72.125,103.375,60.5,42.25,18.875,16.5,5.25,2.375,1.625,1.625,1.625,1.625,1.5,1.5,1.375,1.625,1.5,1.625,1.625,1.5,1.75,1.125,1.625
01/03/2025,1.625,1.625,1.625,1.5,1.375,2,1.625,1.625,1.5,2,1.75,2.375,8.375,25.5,45.75,64.25,81.875,96.375,109.375,118.625,124.625,128.125,127.75,124.75,118.25,108.25,96,81.375,65.25,46,28,12.25,2.375,1.25,1.625,1.625,1.625,1.875,1.375,1.75,1.625,1.625,1.625,1.375,1.875,1.625,1.625,1.625
02/03/2025,1.625,1.625,1.625,1.75,1.625,1.125,1.875,1.5,1.25,1.5,1.75,2.75,8,18.75,47.375,64.875,81.75,96.75,108,123.875,126.875,124.875,127.25,103.625,137.75,107.125,96.375,81,64.5,46.75,29,12.25,2.25,1.5,1.875,1.625,1.75,1.625,1.5,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.375
03/03/2025,1.75,1.625,1.75,1.375,1.875,1.75,1.75,1.625,1.625,1.625,1.75,2.375,10.5,27.75,35.625,50.875,84.625,103.875,112.75,120.375,126.125,128.75,128.125,124.875,117.25,110.125,94,80.25,68.25,51.25,31.75,13.625,2.75,1.75,1.375,1.875,1.625,1.75,1.375,1.75,1.5,1.625,1.625,1.75,1.25,1.625,1.25,1.125
04/03/2025,1.25,1.25,1.875,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.875,3.125,12.25,29.375,47,65.75,83.375,97.5,108.25,117.75,123.75,42.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.125,1.375,2.125
05/03/2025,1.625,1.5,1.875,1.5,1.875,1.75,1.625,1.75,1.625,1.75,1.625,2,3.75,7.625,13.125,20.875,24.375,23.75,53,70.375,107.75,115.875,96,71.125,127.5,108,94.875,80.25,53.875,54.75,18.375,6.875,2.125,1.375,1.25,1.625,1.625,1.125,1.5,1.5,1.625,1.625,1.75,1.625,1.625,1.125,1.875,1.75
06/03/2025,1.25,1.375,1.625,1.75,1.625,1.75,1.625,1.375,2,1.625,1.875,2.875,9.75,26.875,44.875,64.125,80.875,96.875,111,121.875,107.625,115.5,122.25,121.875,124.5,68.25,48.625,40.875,45.5,28.125,20.25,7.75,2.75,1.625,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.75,1.375,2,1.625
07/03/2025,1.75,1.625,1.625,1.625,1.375,1.625,1.375,2.25,1.25,1.625,2.125,2.625,12.5,26,41,33.25,20.625,70.125,63.375,47.375,43.625,35,27.875,23.875,25.5,21.5,13.625,50.375,20.5,17.5,13.25,3.625,2,1.375,1.875,1.625,1.5,1.625,1.375,1.625,1.5,1.25,1.75,1.625,1.375,1.875,1.25,1.625
08/03/2025,1.25,1.875,1.625,1.375,1.625,1.5,1.625,1.375,1.375,1.625,2,4.875,15.125,31.875,48.625,63.125,78.625,85.25,94.75,101.375,80,74.125,108.125,119.5,127.5,88.875,96.875,82.125,69.875,46.75,13,6.5,2.125,1.25,1.25,1.5,1.375,1.375,1.5,1.625,1.625,1.5,1.625,1.75,1.625,1.625,1.625,1.625
09/03/2025,1.625,1.75,1.625,1.5,1.5,1.5,1.625,1.5,1.625,1.625,2.25,5.875,18.875,31.125,58.875,76.875,90.5,100.75,108.125,117.5,130.375,122.25,130.125,98.125,95.375,111.75,113.75,67.875,45.875,34.25,22.125,10.125,3.625,1.375,1.5,1.125,1.625,1.625,1.25,1.625,1.5,1.625,1.25,1.75,1.375,1.5,1.5,1.5
10/03/2025,1.625,1.375,1.375,1.875,1.5,2,1.625,1.625,1.625,1.625,1.375,5.125,8.625,13.5,40.75,36.75,55.875,69.75,62.875,44.25,73.5,64.625,91,90.75,87.625,65,48.25,31.5,22.625,13.375,13.5,7,2.375,1.125,1.375,1.125,1.375,1.375,1.625,1.625,1.5,1.625,1.75,1.75,1.625,1.625,1.625,1.75
11/03/2025,1.625,1.625,1.75,1.625,1.375,2,1.625,1.5,2,1.5,2.125,2.75,5.125,13.5,28.375,33.25,64.375,45.75,70.375,69,66.875,65.375,85.625,85.25,70.75,56.875,41,53.625,27.125,41.125,13.875,5.625,3.375,1.75,1.5,1.625,1.625,1.75,1.375,2,1.625,1.5,1.625,2,1.625,1.75,1.625,1.625
12/03/2025,1.625,1.875,1.625,1.625,1.375,1.75,1.5,1.625,1.375,1.625,1.875,4.5,8.625,21.25,21,32.875,74.75,108.875,73.75,77.5,83.125,99.5,97.25,72,68.5,47.75,27.875,32.75,19.5,40.125,31.25,22.125,3.5,2.125,1.625,1.625,1.75,1.625,1.75,1.625,1.75,1.625,1.25,2,1.375,1.75,1.5,1.625
13/03/2025,1.625,1.625,1.75,1.625,1.625,1.75,1.625,1.375,1.875,1.625,2,2.625,2.75,8.75,12.125,21.875,28.75,34.375,52,66.125,124.125,110.75,109.875,60.125,135.25,131.75,113.5,62.5,39.125,23.75,17.75,28,5.625,1.875,1.75,1.625,1.625,1.375,1.625,2,1.75,1.75,1.625,1.75,1.625,1.5,1.625,1.375
14/03/2025,1.625,1.625,1.625,1.5,1.75,1.375,1.5,1.5,2,1.75,2.5,7.375,26,42.875,63,91.125,105.125,120.875,110.875,116,138.75,88.125,83.75,45.75,65.375,29,12.375,27.75,11.5,22.875,8.125,14.375,3.75,1.75,1.625,1.625,1.75,1.5,1.5,1.625,1.75,1.625,1.5,1.5,1.5,1.625,1.25,1.75
15/03/2025,1.5,1.5,1.5,1.625,1.625,1.625,1.375,1.625,1.625,1.625,2.625,4.625,16,20.125,38.625,85.125,99.125,94.25,73.5,105.75,118.875,160.375,169.625,150.625,132,116.125,115.125,89.25,63.125,45.75,53.375,24.625,7.75,2.125,1.375,1.375,2,1.375,1.625,1.875,1.625,1.75,1.625,1.875,1.625,1.75,1.75,1.625
16/03/2025,1.5,1.75,1.625,1.625,1.375,1.5,1.75,1.375,2,1.75,2.375,8.625,22.125,57.25,71.5,90.625,107.625,122.5,134.875,144.125,149.5,151.5,150,146.375,139.25,129.5,117.125,101,83.5,63.875,45.25,27.75,9.625,1.5,2,1.375,1.875,1.75,1.75,1.625,1.625,1.5,1.625,1.375,1.625,1.5,1.625,1.625
17/03/2025,1.625,1.625,1.75,1.75,1,2.25,1.5,1.125,2,1.5,2.125,8,9.75,24.75,31.25,38.875,73.875,56.875,71,83.125,61.375,39.625,44.375,32.125,32.125,40.375,41.375,33.25,27.375,26.875,17.25,9.75,3.25,1.875,1.625,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.25,2,1.625,1.625
18/03/2025,1.5,1.5,1.75,1.5,1.625,1.75,1.625,1.75,1.5,1.625,3.125,10.875,30.625,51.375,71.125,90.375,107.875,122.875,134.875,143.375,124.125,178.25,151.625,149.5,143,133.375,120.125,104.75,86.25,66.25,46.75,27.75,10.375,2.25,1.5,1.875,1.625,1.625,1.75,1.625,1.625,1.375,1.625,1.375,2,1.625,1.75,1.375
19/03/2025,1.75,1.875,1.75,1.625,1.75,1.625,1.75,1.625,1.5,2.125,3.25,11.75,30.625,51.125,71.375,56.625,81,73.625,128.375,136.375,95.75,91.625,115.125,106.75,85.625,86.625,60.875,64.125,39.125,21.625,10.25,5,2.375,2.25,1.5,1.625,1.625,1.625,1.5,1.625,1.375,1.625,1.625,1.625,1.75,1.625,1.625,1.625
20/03/2025,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.25,1.875,1.75,2.625,12.25,23.25,52.5,68.75,86.875,103.25,117.5,128.625,136,141.25,144.875,144,140.75,134.75,125.125,115.125,99.625,76,58.375,34.75,17.375,11,1.875,1.375,1.375,1.25,1.125,1.625,1.375,1.5,1.5,1.25,1.5,1.375,1.25,1.5,1.5
21/03/2025,1.375,1.25,2,1.625,1.625,1.25,1.5,1.375,1.75,1.375,2.375,5.25,17.25,18.875,20.75,43.625,61.375,65.375,82.875,75.5,72.5,80.5,62,94.375,75.5,148.125,98,54.75,37.125,28.375,21.125,3.625,1.75,1.25,1.5,1.5,1.25,1.625,1.5,1.5,1.25,1.625,1.625,1.625,1.75,1.625,1.375,1.875
22/03/2025,1.625,1.625,1.375,1.5,1.5,1.625,1.625,1.5,1.25,2,3.875,9.25,22.5,33.625,41.125,53.5,67.25,50.75,94.375,72.125,81.875,84.25,68.125,49.125,39.75,39.375,43.5,36.625,47.5,41.25,27.75,16.75,6.125,1.75,1.75,1.375,1.5,1.625,1.5,1.75,1.625,1.625,1.625,1.625,1.625,1.375,1.875,1.75
23/03/2025,1.375,1.625,1.625,1.75,1.625,1.625,1.125,1.625,1.625,1.75,2.125,9.625,13.125,14.875,31.375,33.25,81,60.75,39.875,28.25,21.25,20.625,13.25,9.625,19.875,20.5,25.125,16.5,20.125,5.75,3,2.25,1.5,1.625,1.375,1.75,1.25,1.875,1.5,1.625,1.5,1.5,1.375,1.5,1.375,1.5,1.375,1.5
24/03/2025,1.5,1.5,1.5,1.625,1.625,1.375,1.625,1.5,1.625,1.75,2,7.75,9.375,16.125,20.75,18.75,31.5,44.875,31.875,48,39.25,49.875,40.625,44,40.875,51.125,40.625,39.25,38.25,24.625,16.25,10.75,6.5,2.625,1.625,1.75,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.625,1.625
25/03/2025,1.125,2.25,1.625,1.75,1.625,1.625,1.75,1.625,1.75,1.875,2.375,4.875,12.5,31.625,66.375,59.5,97.375,125.75,109.625,88.375,103.625,81.25,72.5,65.5,95.875,109.625,93,104.875,74.125,38.375,25.5,9.625,3.5,2.125,1.875,1.625,1.5,1.25,1.25,1.25,1.5,1.5,1.5,1.375,1.5,1.375,1.5,1.75
26/03/2025,1.625,1.625,1.5,1.75,1.375,1.875,1.375,1.75,1.625,2.25,4.875,12.5,17.625,21.625,41,41.875,46.625,58,48.625,110.125,144.5,151.125,149.875,147.75,142.375,130.125,117.875,103.375,73.5,81.375,49,31.625,14.625,3.5,1.875,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.5,1.875,1.375,1.875,1.625
27/03/2025,1.625,1.75,1.625,1.625,1.75,1.625,1.75,1.5,1.375,1.875,5.25,10.75,21.5,22.375,42,45.75,55.875,69.375,89.625,78.5,76.75,81.25,91.5,110.25,118.375,134.625,124.25,107.75,92.75,74.125,53.5,34.875,16.625,2.75,2,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.375,2,1.625,1.625,1.625,1.75
28/03/2025,1.625,1.625,1.625,1.875,1.625,1.625,1.75,1.625,1.75,1.75,2.625,2.875,5.125,4.5,25.25,31.125,61.75,93.875,91.375,80.875,167.5,120,98.75,161.625,139.75,149.25,89.25,101.875,95.5,61.75,39.25,46.625,20.125,7.375,1.125,1.375,1.25,1.125,1.625,1.625,1.375,1.875,1.625,1.625,1.375,2,1.75,1.625
29/03/2025,1.625,1.625,1.625,1.625,1.5,1.75,1.5,1.75,1.75,2.5,9,28.375,42,72.75,85.5,106,120.375,123.625,118.375,107.625,134.375,154.375,155.625,150.875,145.625,135.875,120,78.125,71.5,88.875,57.5,44.5,18.375,9.25,1.75,1.625,1.625,1.5,1.5,1.5,1.375,1.875,1.375,1.625,1.375,1.375,1.25,4.75
30/03/2025,1.5,1.625,1.625,1.625,1.625,1.375,1.75,3.25,11.125,26.125,41.75,47.625,87.25,106.75,123.125,134.75,144.375,154.125,159.625,160.375,158.875,154.875,147.625,139.5,127.25,113.625,96.875,78.875,50.25,47.875,21.375,6.125,1.125,1.125,1.125,1.625,1.375,1.875,1.5,1.75,1.625,1.625,1.625,1.5,1.625,1.625,1.625,1.625
31/03/2025,1.375,1.625,1.125,1.875,1.75,1.625,1.625,3.25,10.625,28.25,48.375,67.75,87.125,105.5,100,153.5,142.375,149.25,155.875,154.5,154.375,150.125,147.25,139.25,126.875,110.25,96.875,74.75,54.875,32,23.25,7,1.375,1.75,1.5,1.5,1.625,1.75,1.375,1.625,1.375,1.75,1.5,1.5,1.375,1.5,1.5,1.25